elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.001,29.163,8.661,41.012
21.034,29.163,8.661,41.012
49.077,29.163,8.661,41.012
79.209,29.292,8.594,40.776
100.105,29.292,8.594,40.776
130.357,29.292,8.594,40.776
160.247,29.292,8.594,40.776
192.735,29.292,8.594,40.776
225.131,29.292,8.594,40.776
258.062,29.292,8.594,40.776
290.419,29.292,8.594,40.776
321.087,29.292,8.594,40.776
351.066,29.292,8.594,40.776
381.739,29.292,8.594,40.776
409.996,29.292,8.594,40.776
440.787,30.131,8.518,40.497
472.382,30.131,8.518,40.497
500.335,30.131,8.518,40.497
529.962,30.131,8.518,40.497
564.919,30.131,8.518,40.497
594.043,30.131,8.518,40.497
627.007,30.131,8.518,40.497
648.625,30.131,8.518,40.497
678.950,30.131,8.518,40.497
711.379,30.131,8.518,40.497
739.880,30.131,8.518,40.497
761.919,30.131,8.518,40.497
789.763,30.131,8.518,40.497
817.845,29.004,8.361,39.830
847.745,29.004,8.361,39.830
878.899,29.004,8.361,39.830
899.076,29.004,8.361,39.830
927.007,29.004,8.361,39.830
955.589,29.004,8.361,39.830
984.336,29.004,8.361,39.830
1016.382,29.004,8.361,39.830
1043.893,29.004,8.361,39.830
1073.770,29.004,8.361,39.830
1105.625,29.004,8.361,39.830
1133.395,29.004,8.361,39.830
1159.752,29.004,8.361,39.830
1188.281,28.495,8.392,40.054
1217.840,28.495,8.392,40.054
1249.463,28.495,8.392,40.054
1279.336,28.495,8.392,40.054
1300.458,28.495,8.392,40.054
1321.697,28.495,8.392,40.054
1342.474,28.495,8.392,40.054
1369.737,28.495,8.392,40.054
1396.514,28.495,8.392,40.054
1417.299,28.495,8.392,40.054
1448.786,28.495,8.392,40.054
1470.221,28.495,8.392,40.054
1501.036,28.495,8.392,40.054
1529.169,28.495,8.392,40.054
1561.465,26.656,8.339,39.874
1583.058,26.656,8.339,39.874
1609.903,26.656,8.339,39.874
1641.781,26.656,8.339,39.874
1669.295,26.656,8.339,39.874
1699.215,26.656,8.339,39.874
1727.852,26.656,8.339,39.874
1751.619,26.656,8.339,39.874
1779.127,26.656,8.339,39.874
1810.160,26.656,8.339,39.874
1842.129,26.656,8.339,39.874
1875.024,26.656,8.339,39.874
1896.035,26.656,8.339,39.874
1925.069,27.969,8.300,39.761
1946.382,27.969,8.300,39.761
1975.702,27.969,8.300,39.761
1997.446,27.969,8.300,39.761
2019.625,27.969,8.300,39.761
2040.856,27.969,8.300,39.761
2062.546,27.969,8.300,39.761
2095.801,27.969,8.300,39.761
2125.627,27.969,8.300,39.761
2152.434,27.969,8.300,39.761
2181.883,27.969,8.300,39.761
2212.462,27.969,8.300,39.761
2233.719,27.969,8.300,39.761
2263.494,27.969,8.300,39.761
2296.385,26.522,8.587,41.200
2324.219,26.522,8.587,41.200
2354.953,26.522,8.587,41.200
2377.988,26.522,8.587,41.200
2408.565,26.522,8.587,41.200
2431.226,26.522,8.587,41.200
2460.477,26.522,8.587,41.200
2487.064,26.522,8.587,41.200
2517.376,26.522,8.587,41.200
2552.456,26.522,8.587,41.200
2584.553,26.522,8.587,41.200
2616.088,26.522,8.587,41.200
2638.216,26.522,8.587,41.200
2671.219,28.834,8.105,38.960
2706.806,28.834,8.105,38.960
2728.303,28.834,8.105,38.960
2763.112,28.834,8.105,38.960
2793.340,28.834,8.105,38.960
2825.263,28.834,8.105,38.960
2858.934,28.834,8.105,38.960
2880.232,28.834,8.105,38.960
2900.930,28.834,8.105,38.960
2923.336,28.834,8.105,38.960
2955.374,28.834,8.105,38.960
2983.932,28.834,8.105,38.960
3005.619,28.834,8.105,38.960
3027.447,27.401,8.110,39.042
3057.929,27.401,8.110,39.042
3088.978,27.401,8.110,39.042
3110.273,27.401,8.110,39.042
3134.049,27.401,8.110,39.042
3166.206,27.401,8.110,39.042
3186.420,27.401,8.110,39.042
3216.016,27.401,8.110,39.042
3244.101,27.401,8.110,39.042
3272.850,27.401,8.110,39.042
3305.734,27.401,8.110,39.042
3335.639,27.401,8.110,39.042
3355.676,27.401,8.110,39.042
3379.991,27.119,8.365,40.327
3403.140,27.119,8.365,40.327
3425.517,27.119,8.365,40.327
3452.828,27.119,8.365,40.327
3484.742,27.119,8.365,40.327
3514.781,27.119,8.365,40.327
3535.752,27.119,8.365,40.327
3568.127,27.119,8.365,40.327
3598.988,27.119,8.365,40.327
3632.119,27.119,8.365,40.327
