elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.085,62.763,7.984,43.258
62.497,62.406,7.798,42.252
125.197,62.696,8.170,44.264
187.739,62.541,6.684,36.216
250.148,62.409,7.798,42.252
313.280,63.129,8.170,44.264
380.285,67.001,7.162,38.803
442.715,62.432,7.798,42.252
503.117,60.396,7.427,40.240
563.361,60.246,7.613,41.246
633.246,69.883,7.639,41.390
703.183,69.937,7.639,41.390
780.585,77.400,7.102,38.480
862.855,82.271,7.102,38.480
937.182,74.323,6.406,34.707
1014.195,77.012,7.798,42.252
1090.597,76.396,6.684,36.216
1164.669,74.072,7.480,40.527
1228.117,63.449,6.843,37.078
1296.153,68.036,8.726,47.282
1362.438,66.281,7.480,40.527
1429.935,67.488,7.320,39.665
1496.155,66.217,8.726,47.282
1571.205,75.052,7.241,39.234
1652.081,80.880,7.798,42.252
1712.442,60.360,7.426,40.240
1774.324,61.881,7.798,42.252
1837.289,62.962,6.843,37.078
1907.343,70.052,7.638,41.390
1967.706,60.359,7.612,41.246
2032.363,64.657,7.983,43.258
2096.548,64.182,7.983,43.258
2162.359,65.808,7.161,38.803
2222.343,59.985,7.240,39.234
2284.008,61.659,7.612,41.246
2344.596,60.586,7.426,40.240
2411.216,66.622,7.161,38.803
2470.398,59.184,7.240,39.234
2535.040,64.640,8.354,45.270
2601.695,66.654,7.002,37.941
2667.171,65.474,7.161,38.803
2731.351,64.179,8.354,45.270
2792.496,61.149,7.983,43.258
2851.941,59.437,7.611,41.246
2911.794,59.858,7.797,42.252
2971.408,59.610,7.797,42.252
3042.619,71.211,7.161,38.803
3117.337,74.715,6.265,33.953
3193.543,76.208,7.479,40.527
3267.625,74.081,6.265,33.952
3339.664,72.038,7.160,38.803
3406.874,67.209,8.168,44.264
3469.838,62.962,6.842,37.078
3532.360,62.515,7.982,43.258
3598.429,66.071,7.319,39.665
3662.767,64.337,8.539,46.276
3724.156,61.371,7.797,42.252
3786.411,62.272,7.611,41.246
3849.227,62.813,6.842,37.078
3916.387,67.158,8.539,46.276
3984.356,67.972,7.637,41.390
4053.668,69.309,7.478,40.527
