elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.093,89.715,7.851,44.265
84.164,84.068,7.494,42.253
168.218,84.050,8.832,49.798
237.858,69.642,7.647,43.115
306.056,68.198,7.494,42.253
388.902,82.844,8.163,46.026
465.417,76.515,7.896,44.517
542.957,77.536,8.565,48.290
625.258,82.301,7.256,40.912
710.486,85.226,8.163,46.026
805.801,95.313,6.959,39.236
893.603,87.797,7.494,42.254
988.104,94.507,7.613,42.925
1071.746,83.628,7.360,41.499
1160.884,89.147,7.137,40.242
1243.239,82.357,7.360,41.499
1318.007,74.767,6.557,36.972
1400.456,82.446,7.360,41.499
1491.876,91.421,7.137,40.242
1576.949,85.064,6.899,38.901
1656.374,79.436,7.226,40.745
1740.350,83.968,7.627,43.009
1822.026,81.662,7.226,40.745
1904.315,82.297,6.542,36.889
1989.629,85.309,7.627,43.009
2087.063,97.440,7.493,42.254
2186.738,99.671,7.815,44.065
2274.860,88.119,7.018,39.572
2357.730,82.872,7.493,42.254
2451.194,93.470,7.493,42.255
2531.129,79.926,6.958,39.236
2605.336,74.204,6.289,35.464
2680.354,75.015,7.493,42.254
2749.120,68.762,7.034,39.667
2819.909,70.797,7.799,43.979
2897.270,77.359,7.359,41.500
2969.695,72.425,7.799,43.980
3033.297,63.602,8.385,47.285
3103.512,70.209,7.646,43.117
3173.907,70.397,6.690,37.728
3243.884,69.975,7.646,43.117
3313.872,69.987,7.646,43.118
3382.753,68.867,8.742,49.298
3459.230,76.480,7.359,41.501
3540.575,81.356,7.760,43.765
3610.767,70.189,7.646,43.118
3680.026,69.255,7.340,41.393
3747.371,67.342,7.340,41.393
3818.370,71.000,8.563,48.293
3893.772,75.408,7.225,40.747
3973.439,79.661,8.869,50.017
4053.352,79.905,7.894,44.520
4130.068,76.716,7.359,41.502
4199.697,69.634,8.258,46.568
4276.839,77.143,7.627,43.011
4348.194,71.348,8.563,48.293
4427.171,78.984,7.761,43.766
4506.691,79.510,7.761,43.766
4590.715,84.030,7.761,43.766
4681.530,90.815,7.255,40.916
4768.530,86.998,7.374,41.586
4859.849,91.317,7.493,42.257
4951.676,91.827,7.493,42.257
5042.944,91.265,7.612,42.928
5139.541,96.579,6.958,39.239
5235.371,95.827,7.065,39.842
5330.458,95.103,7.731,43.599
5424.375,93.916,6.637,37.428
5506.162,81.788,7.225,40.748
5586.156,79.994,6.958,39.239
5661.963,75.782,7.493,42.257
5740.539,78.597,6.958,39.239
5819.362,78.824,6.824,38.484
5895.133,75.767,6.690,37.729
5968.066,72.924,7.799,43.982
6037.534,69.474,7.493,42.257
6106.460,68.926,7.646,43.120
6177.234,70.774,7.493,42.257
6246.172,68.927,7.646,43.120
6307.632,61.459,7.671,43.264
6374.407,66.783,7.340,41.395
6442.460,68.054,8.742,49.301
6506.817,64.356,6.881,38.808
6570.581,63.759,8.206,46.282
6636.795,66.209,7.187,40.533
6703.211,66.420,8.563,48.295
6769.857,66.648,7.187,40.533
6835.848,65.989,7.187,40.533
6902.882,67.032,8.742,49.301
6972.946,70.065,7.646,43.121
7040.665,67.706,7.340,41.396
7105.058,64.404,7.187,40.533
7170.472,65.413,8.206,46.283
7236.199,65.727,7.187,40.533
7301.152,64.938,8.206,46.283
7377.198,76.058,7.493,42.258
7456.578,79.373,7.627,43.013
7531.125,74.550,8.257,46.571
7606.246,75.121,7.359,41.504
7681.186,74.940,8.410,47.433
7765.058,83.863,7.017,39.576
7852.180,87.127,7.760,43.768
7939.758,87.574,7.136,40.247
8027.834,88.079,7.136,40.247
8106.917,79.083,6.958,39.240
