elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.109,33.525,7.374,40.735
35.158,35.062,7.283,40.232
98.232,63.077,7.829,43.250
160.931,62.696,6.711,37.071
221.738,60.808,7.465,41.238
282.728,60.990,7.465,41.238
344.465,61.736,7.647,42.244
407.000,62.533,7.647,42.244
468.946,61.946,7.829,43.250
530.218,61.270,6.399,35.347
592.810,62.586,7.647,42.244
665.983,73.166,7.647,42.244
731.090,65.115,6.711,37.071
792.908,61.820,7.647,42.244
854.689,61.779,7.829,43.250
915.988,61.297,7.465,41.238
978.229,62.230,7.647,42.244
1047.064,68.831,7.023,38.796
1113.856,66.803,7.023,38.796
1174.919,61.062,7.465,41.238
1235.148,60.227,7.465,41.238
1296.780,61.632,7.465,41.238
1358.553,61.774,7.647,42.244
1419.683,61.127,6.399,35.347
1481.957,62.274,7.829,43.250
1543.469,61.510,7.647,42.244
1612.703,69.233,6.711,37.071
1688.538,75.834,7.335,40.520
1762.176,73.636,6.008,33.192
1831.151,68.974,6.711,37.071
1900.539,69.388,6.867,37.933
1968.694,68.152,8.011,44.256
2030.271,61.578,6.398,35.347
2087.894,57.623,8.958,49.486
2145.377,57.470,7.465,41.238
2209.425,64.057,6.867,37.933
2267.522,58.095,8.958,49.486
2325.809,58.285,7.283,40.232
2384.007,58.195,7.465,41.238
2444.535,60.527,7.465,41.238
2505.321,60.786,7.283,40.232
2567.303,61.977,7.829,43.250
2628.873,61.575,7.465,41.238
2690.068,61.193,6.398,35.347
2751.797,61.725,7.829,43.250
2818.448,66.650,8.011,44.256
2883.761,65.311,6.867,37.933
2948.818,65.055,8.011,44.256
3014.824,66.003,6.867,37.933
3079.706,64.834,7.023,38.796
3147.741,68.082,8.557,47.273
3215.351,67.607,7.179,39.658
3289.227,73.879,7.959,43.968
3355.042,65.815,7.335,40.520
3420.194,65.142,7.023,38.796
3485.943,65.759,8.375,46.267
3547.842,61.890,7.829,43.250
3616.625,68.786,7.335,40.520
3684.189,67.563,7.335,40.520
3751.945,67.755,7.179,39.658
3821.332,69.381,7.023,38.796
3891.595,70.264,6.710,37.071
3971.872,80.278,7.101,39.227
4043.591,71.716,6.710,37.071
4114.953,71.365,6.866,37.933
4192.455,77.498,6.691,36.963
4257.429,64.972,7.647,42.244
4320.376,62.936,6.866,37.933
4381.292,60.924,7.647,42.244
4439.847,58.553,7.465,41.238
4497.835,57.985,8.958,49.486
4558.985,61.149,7.647,42.244
4623.155,64.173,7.022,38.796
4689.221,66.061,8.193,45.262
4760.605,71.385,6.964,38.472
4827.402,66.788,8.375,46.267
4893.553,66.158,7.022,38.796
4959.415,65.843,7.178,39.658
5025.359,65.950,8.193,45.262
5096.782,71.433,7.803,43.106
5162.916,66.130,7.178,39.658
5228.890,65.973,8.375,46.267
5294.622,65.730,7.178,39.658
5360.583,65.960,7.022,38.796
5420.373,59.781,7.465,41.238
5478.745,58.379,8.957,49.486
5542.992,64.244,7.334,40.520
5609.993,67.002,7.334,40.520
5675.227,65.232,8.557,47.273
5742.354,67.123,7.334,40.520
5809.712,67.355,7.334,40.520
5875.581,65.877,8.557,47.273
5939.790,64.204,7.178,39.658
6004.933,65.145,8.557,47.274
6070.714,65.774,6.710,37.072
6140.425,69.714,6.710,37.072
6209.762,69.334,6.866,37.934
6278.022,68.256,7.828,43.250
6345.153,67.134,6.710,37.072
6412.198,67.044,6.710,37.072
6473.299,61.099,7.464,41.239
6530.186,56.884,7.282,40.233
6588.040,57.851,8.739,48.279
6644.710,56.673,7.282,40.233
6702.274,57.563,7.464,41.239
6760.144,57.871,7.282,40.233
6816.461,56.311,8.739,48.279
6873.711,57.252,7.282,40.233
6931.031,57.315,7.282,40.233
6988.918,57.889,8.957,49.486
7053.041,64.076,7.334,40.520
7111.652,58.628,7.282,40.233
7167.578,55.953,8.739,48.280
7224.106,56.527,7.282,40.233
7281.999,57.892,7.282,40.233
7338.880,56.879,8.739,48.280
7396.183,57.303,7.282,40.233
7453.945,57.762,7.464,41.239
7515.776,61.824,7.646,42.245
7571.745,55.972,6.918,38.221
7627.548,55.800,8.302,45.866
7690.640,63.090,6.710,37.072
7751.807,61.166,7.464,41.239
7811.422,59.608,7.828,43.251
7872.631,61.211,7.464,41.239
7934.142,61.511,7.646,42.245
7997.377,63.227,8.192,45.262
8066.010,68.638,7.178,39.658
8125.450,59.441,7.646,42.245
8185.637,60.189,7.282,40.233
8251.967,66.323,6.554,36.210
8329.805,77.836,6.827,37.718
8401.869,72.067,6.866,37.934
8467.384,65.506,7.646,42.245
8532.725,65.350,7.178,39.658
8595.211,62.484,8.374,46.268
8658.579,63.363,7.646,42.245
8719.253,60.674,7.646,42.245
8786.095,66.845,7.178,39.658
8845.531,59.434,7.464,41.239
8911.119,65.589,7.022,38.796
8978.305,67.183,8.374,46.268
9045.697,67.388,7.334,40.520
9111.291,65.597,7.022,38.796
9173.342,62.049,7.646,42.245
9235.510,62.162,7.464,41.239
9296.481,60.971,7.646,42.245
9355.293,58.812,7.282,40.233
9414.498,59.204,7.464,41.239
9472.586,58.087,7.646,42.245
9531.424,58.829,7.464,41.239
9597.290,65.873,8.010,44.256
9661.775,64.486,7.022,38.796
9720.459,58.682,7.100,39.227
9788.032,67.571,8.556,47.274
9850.071,62.039,6.710,37.072
9909.735,59.661,7.282,40.233
9969.167,59.431,8.738,48.280
10032.294,63.124,6.710,37.072
10091.164,58.868,7.100,39.227
10149.987,58.823,7.282,40.233
10209.733,59.740,7.100,39.227
10279.560,69.832,7.022,38.796
10353.280,73.721,7.022,38.796
10426.236,72.944,7.022,38.796
10499.164,72.931,7.022,38.796
10571.162,72.004,6.007,33.192
10644.133,72.968,7.178,39.658
10717.118,72.981,6.866,37.934
10787.894,70.778,6.866,37.934
10860.626,72.731,6.007,33.192
10921.308,60.681,7.464,41.239
10982.026,60.716,7.464,41.239
11042.927,60.901,7.464,41.239
11099.525,56.590,6.918,38.221
11161.484,61.957,7.464,41.239
11217.680,56.196,8.083,44.658
11278.576,60.899,7.646,42.244
11338.869,60.291,7.282,40.233
11399.700,60.781,6.553,36.210
11460.987,61.332,7.464,41.239
11522.010,61.024,7.646,42.244
11583.291,61.282,7.646,42.244
11644.553,61.263,7.464,41.239
11706.123,61.551,7.646,42.244
11767.442,61.322,7.646,42.244
11828.651,61.219,7.646,42.244
11889.647,60.994,6.397,35.347
11951.452,61.794,7.828,43.250
12012.674,61.232,7.646,42.244
12073.741,61.068,7.282,40.233
12134.432,60.680,7.646,42.244
12195.388,60.958,7.464,41.239
12255.615,60.228,7.464,41.239
12315.638,60.024,7.464,41.239
12381.807,66.169,7.178,39.658
12442.213,60.401,7.646,42.244
12500.845,58.637,7.464,41.239
12560.170,59.321,7.464,41.239
12620.261,60.090,7.646,42.245
12687.965,67.701,7.828,43.250
12759.069,71.106,7.021,38.796
12829.115,70.039,6.709,37.072
12899.233,70.122,6.865,37.934
12969.390,70.152,6.865,37.934
13039.657,70.271,5.871,32.438
13101.042,61.332,7.463,41.239
13161.295,60.304,7.463,41.239
13220.945,59.643,7.463,41.239
13280.797,59.854,7.645,42.244
13341.053,60.212,7.463,41.239
13400.765,59.755,7.463,41.239
13458.273,57.506,8.956,49.486
13517.683,59.410,7.645,42.244
13576.647,58.964,7.281,40.233
13635.030,58.381,7.463,41.239
13693.863,58.833,7.099,39.227
13752.469,58.594,7.463,41.239
13810.973,58.512,7.099,39.227
13867.816,56.841,8.738,48.279
13938.144,70.324,7.801,43.107
14002.025,63.885,7.177,39.658
14065.795,63.768,8.556,47.274
14124.530,58.732,7.281,40.233
14182.809,58.276,7.281,40.233
14241.544,58.738,7.281,40.233
14303.673,62.128,7.827,43.250
14365.481,61.800,7.827,43.250
14423.778,58.300,7.463,41.239
14489.155,65.378,8.373,46.268
14554.140,64.982,7.333,40.520
14614.700,60.559,7.645,42.245
14672.619,57.915,7.281,40.233
14737.160,64.544,8.555,47.274
14802.487,65.319,7.177,39.658
14862.758,60.276,7.463,41.239
14930.026,67.265,6.865,37.934
14997.766,67.734,7.827,43.251
15065.754,67.995,6.709,37.072
15126.123,60.365,7.281,40.233
15192.151,66.017,7.021,38.796
15249.125,56.983,8.300,45.866
15306.028,56.902,6.735,37.216
15366.136,60.109,7.463,41.239
15426.730,60.593,7.463,41.239
15487.459,60.722,7.645,42.245
15547.845,60.389,7.281,40.233
15608.138,60.295,7.463,41.239
15670.109,61.967,6.709,37.072
15734.436,64.322,8.009,44.256
15796.730,62.297,7.645,42.245
15857.480,60.735,7.463,41.239
15921.077,63.611,6.865,37.934
15984.031,62.953,7.645,42.245
16047.909,63.873,8.191,45.262
16110.340,62.430,6.709,37.072
16177.043,66.705,8.373,46.268
