elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.001,30.021,11.515,45.131
31.414,30.021,11.515,45.131
57.007,30.021,11.515,45.131
93.423,35.179,12.318,48.411
128.354,35.179,12.318,48.411
161.684,35.179,12.318,48.411
196.724,35.179,12.318,48.411
226.392,35.179,12.318,48.411
254.621,35.179,12.318,48.411
286.563,35.179,12.318,48.411
322.293,35.179,12.318,48.411
350.585,35.179,12.318,48.411
385.454,35.179,12.318,48.411
421.454,35.179,12.318,48.411
457.765,33.062,11.682,46.048
498.051,33.062,11.682,46.048
523.944,33.062,11.682,46.048
556.337,33.062,11.682,46.048
588.441,33.062,11.682,46.048
620.422,33.062,11.682,46.048
648.400,33.062,11.682,46.048
670.653,33.062,11.682,46.048
703.093,33.062,11.682,46.048
735.491,33.062,11.682,46.048
768.791,33.062,11.682,46.048
800.185,33.062,11.682,46.048
831.697,31.104,12.170,48.111
858.280,31.104,12.170,48.111
890.245,31.104,12.170,48.111
918.034,31.104,12.170,48.111
945.422,31.104,12.170,48.111
976.805,31.104,12.170,48.111
1003.474,31.104,12.170,48.111
1033.687,31.104,12.170,48.111
1056.107,31.104,12.170,48.111
1087.126,31.104,12.170,48.111
1119.435,31.104,12.170,48.111
1151.784,31.104,12.170,48.111
1178.759,31.104,12.170,48.111
1207.460,28.852,12.598,49.953
1234.509,28.852,12.598,49.953
1265.324,28.852,12.598,49.953
1297.817,28.852,12.598,49.953
1329.782,28.852,12.598,49.953
1366.485,28.852,12.598,49.953
1403.339,28.852,12.598,49.953
1436.166,28.852,12.598,49.953
1471.371,28.852,12.598,49.953
1503.352,28.852,12.598,49.953
1534.565,28.852,12.598,49.953
1567.472,32.669,12.337,49.051
1599.700,32.669,12.337,49.051
1628.256,32.669,12.337,49.051
1659.636,32.669,12.337,49.051
1691.701,32.669,12.337,49.051
1716.148,32.669,12.337,49.051
1750.736,32.669,12.337,49.051
1788.997,32.669,12.337,49.051
1819.001,32.669,12.337,49.051
1852.999,32.669,12.337,49.051
1880.199,32.669,12.337,49.051
1908.781,32.669,12.337,49.051
1939.256,30.926,12.603,50.246
1971.373,30.926,12.603,50.246
1992.632,30.926,12.603,50.246
2025.983,30.926,12.603,50.246
2056.952,30.926,12.603,50.246
2086.437,30.926,12.603,50.246
2120.224,30.926,12.603,50.246
2148.878,30.926,12.603,50.246
2176.078,30.926,12.603,50.246
2197.740,30.926,12.603,50.246
2230.626,30.926,12.603,50.246
2260.756,30.926,12.603,50.246
2293.363,29.456,12.172,48.644
2325.770,29.456,12.172,48.644
2357.033,29.456,12.172,48.644
2390.656,29.456,12.172,48.644
2417.671,29.456,12.172,48.644
2444.789,29.456,12.172,48.644
2475.901,29.456,12.172,48.644
2501.846,29.456,12.172,48.644
2528.968,29.456,12.172,48.644
2561.849,29.456,12.172,48.644
2588.404,29.456,12.172,48.644
2619.970,29.456,12.172,48.644
2647.528,29.460,12.075,48.387
2679.827,29.460,12.075,48.387
2717.402,29.460,12.075,48.387
2744.580,29.460,12.075,48.387
2780.762,29.460,12.075,48.387
2809.253,29.460,12.075,48.387
2845.692,29.460,12.075,48.387
2881.578,29.460,12.075,48.387
2909.959,29.460,12.075,48.387
2941.439,29.460,12.075,48.387
2972.497,29.460,12.075,48.387
3008.285,32.738,11.715,47.072
3036.296,32.738,11.715,47.072
3068.792,32.738,11.715,47.072
3100.695,32.738,11.715,47.072
3126.610,32.738,11.715,47.072
3159.244,32.738,11.715,47.072
3186.854,32.738,11.715,47.072
3218.299,32.738,11.715,47.072
3249.163,32.738,11.715,47.072
3275.290,32.738,11.715,47.072
3303.782,32.738,11.715,47.072
3328.191,32.738,11.715,47.072
3363.695,29.564,11.749,47.333
3401.423,29.564,11.749,47.333
3436.708,29.564,11.749,47.333
3477.773,29.564,11.749,47.333
3509.375,29.564,11.749,47.333
3539.575,29.564,11.749,47.333
3578.558,29.564,11.749,47.333
3608.954,29.564,11.749,47.333
3636.727,29.564,11.749,47.333
3663.674,29.564,11.749,47.333
3690.554,29.564,11.749,47.333
3723.698,32.669,11.268,45.484
3757.035,32.669,11.268,45.484
3784.650,32.669,11.268,45.484
3815.522,32.669,11.268,45.484
3844.058,32.669,11.268,45.484
3876.323,32.669,11.268,45.484
3911.281,32.669,11.268,45.484
3948.947,32.669,11.268,45.484
3983.277,32.669,11.268,45.484
4015.648,32.669,11.268,45.484
4047.685,32.669,11.268,45.484
4085.035,32.789,11.475,46.442
4121.446,32.789,11.475,46.442
4154.715,32.789,11.475,46.442
4197.260,32.789,11.475,46.442
4232.364,32.789,11.475,46.442
4260.773,32.789,11.475,46.442
4295.220,32.789,11.475,46.442
4323.975,32.789,11.475,46.442
4348.711,32.789,11.475,46.442
4374.041,32.789,11.475,46.442
4398.369,32.789,11.475,46.442
4424.175,32.789,11.475,46.442
4450.037,30.362,11.742,47.635
4479.813,30.362,11.742,47.635
4514.407,30.362,11.742,47.635
4547.499,30.362,11.742,47.635
4581.088,30.362,11.742,47.635
4611.759,30.362,11.742,47.635
4638.108,30.362,11.742,47.635
4665.140,30.362,11.742,47.635
4698.733,30.362,11.742,47.635
4722.486,30.362,11.742,47.635
4758.000,30.362,11.742,47.635
4797.861,30.362,11.742,47.635
4828.064,31.447,11.650,47.357
4857.383,31.447,11.650,47.357
4887.984,31.447,11.650,47.357
4918.362,31.447,11.650,47.357
4948.316,31.447,11.650,47.357
4978.813,31.447,11.650,47.357
5008.187,31.447,11.650,47.357
5040.132,31.447,11.650,47.357
5069.411,31.447,11.650,47.357
5100.119,31.447,11.650,47.357
5129.032,31.447,11.650,47.357
5158.070,31.447,11.650,47.357
5188.320,29.968,11.875,48.373
5212.527,29.968,11.875,48.373
5242.931,29.968,11.875,48.373
5273.993,29.968,11.875,48.373
5297.728,29.968,11.875,48.373
5322.398,29.968,11.875,48.373
5353.594,29.968,11.875,48.373
5384.043,29.968,11.875,48.373
5413.995,29.968,11.875,48.373
5444.763,29.968,11.875,48.373
5475.779,29.968,11.875,48.373
5507.008,29.968,11.875,48.373
5537.450,29.968,11.875,48.373
5568.031,29.156,11.880,48.506
5596.091,29.156,11.880,48.506
5625.798,29.156,11.880,48.506
5654.965,29.156,11.880,48.506
5675.243,29.156,11.880,48.506
5698.468,29.156,11.880,48.506
5730.126,29.156,11.880,48.506
5756.107,29.156,11.880,48.506
5786.981,29.156,11.880,48.506
5812.233,29.156,11.880,48.506
5842.941,29.156,11.880,48.506
5872.729,29.156,11.880,48.506
5901.249,29.156,11.880,48.506
5924.966,27.408,12.346,50.526
5955.195,27.408,12.346,50.526
5982.392,27.408,12.346,50.526
6011.850,27.408,12.346,50.526
6040.617,27.408,12.346,50.526
6067.865,27.408,12.346,50.526
6094.118,27.408,12.346,50.526
6124.997,27.408,12.346,50.526
6154.379,27.408,12.346,50.526
6184.667,27.408,12.346,50.526
6208.099,27.408,12.346,50.526
6238.463,27.408,12.346,50.526
6264.107,27.408,12.346,50.526
6290.458,28.065,11.880,48.730
6312.821,28.065,11.880,48.730
6344.210,28.065,11.880,48.730
6373.700,28.065,11.880,48.730
6402.175,28.065,11.880,48.730
6431.736,28.065,11.880,48.730
6460.821,28.065,11.880,48.730
6491.861,28.065,11.880,48.730
6518.536,28.065,11.880,48.730
6546.765,28.065,11.880,48.730
6580.752,28.065,11.880,48.730
6613.039,28.065,11.880,48.730
6640.171,28.065,11.880,48.730
6669.357,29.094,11.872,48.798
6695.215,29.094,11.872,48.798
6725.120,29.094,11.872,48.798
6754.385,29.094,11.872,48.798
6784.394,29.094,11.872,48.798
6814.183,29.094,11.872,48.798
6843.119,29.094,11.872,48.798
6872.294,29.094,11.872,48.798
6903.447,29.094,11.872,48.798
6933.277,29.094,11.872,48.798
6961.701,29.094,11.872,48.798
6995.620,29.094,11.872,48.798
7025.550,29.630,11.936,49.144
7052.863,29.630,11.936,49.144
7082.418,29.630,11.936,49.144
7111.732,29.630,11.936,49.144
7140.151,29.630,11.936,49.144
7166.772,29.630,11.936,49.144
7196.040,29.630,11.936,49.144
7224.486,29.630,11.936,49.144
7254.353,29.630,11.936,49.144
7285.059,29.630,11.936,49.144
7315.173,29.630,11.936,49.144
7349.499,29.630,11.936,49.144
7372.476,29.630,11.936,49.144
7401.015,28.830,11.836,48.839
7428.091,28.830,11.836,48.839
7457.089,28.830,11.836,48.839
7487.410,28.830,11.836,48.839
7518.916,28.830,11.836,48.839
7549.414,28.830,11.836,48.839
7570.079,28.830,11.836,48.839
7596.423,28.830,11.836,48.839
7628.175,28.830,11.836,48.839
7660.281,28.830,11.836,48.839
7692.087,28.830,11.836,48.839
7716.676,28.830,11.836,48.839
7747.144,28.830,11.836,48.839
7775.340,28.742,11.970,49.498
7806.184,28.742,11.970,49.498
7827.304,28.742,11.970,49.498
7857.221,28.742,11.970,49.498
7887.999,28.742,11.970,49.498
7913.751,28.742,11.970,49.498
7935.783,28.742,11.970,49.498
7962.204,28.742,11.970,49.498
7992.522,28.742,11.970,49.498
8022.296,28.742,11.970,49.498
8053.750,28.742,11.970,49.498
8079.472,28.742,11.970,49.498
8104.905,28.742,11.970,49.498
8136.100,27.702,12.172,50.428
8161.456,27.702,12.172,50.428
8190.895,27.702,12.172,50.428
8223.269,27.702,12.172,50.428
8250.964,27.702,12.172,50.428
8276.633,27.702,12.172,50.428
8307.280,27.702,12.172,50.428
8335.961,27.702,12.172,50.428
8360.032,27.702,12.172,50.428
8384.502,27.702,12.172,50.428
8418.179,27.702,12.172,50.428
8449.386,27.702,12.172,50.428
8473.946,27.702,12.172,50.428
8501.317,28.043,12.268,50.925
8530.617,28.043,12.268,50.925
8560.124,28.043,12.268,50.925
8592.658,28.043,12.268,50.925
8620.970,28.043,12.268,50.925
8652.871,28.043,12.268,50.925
8683.300,28.043,12.268,50.925
8710.971,28.043,12.268,50.925
8743.146,28.043,12.268,50.925
8775.552,28.043,12.268,50.925
8809.603,28.043,12.268,50.925
8842.792,28.043,12.268,50.925
8871.451,30.791,11.481,47.738
8899.815,30.791,11.481,47.738
8926.547,30.791,11.481,47.738
8962.152,30.791,11.481,47.738
8985.849,30.791,11.481,47.738
9019.645,30.791,11.481,47.738
9048.026,30.791,11.481,47.738
9074.335,30.791,11.481,47.738
9106.694,30.791,11.481,47.738
9131.701,30.791,11.481,47.738
9164.625,30.791,11.481,47.738
9191.682,30.791,11.481,47.738
9220.201,30.791,11.481,47.738
9251.766,29.203,11.802,49.175
9279.670,29.203,11.802,49.175
9309.259,29.203,11.802,49.175
9338.426,29.203,11.802,49.175
9365.036,29.203,11.802,49.175
9397.843,29.203,11.802,49.175
9436.626,29.203,11.802,49.175
9471.166,29.203,11.802,49.175
9495.156,29.203,11.802,49.175
9529.081,29.203,11.802,49.175
9564.558,29.203,11.802,49.175
9587.797,29.203,11.802,49.175
9615.566,30.263,11.501,48.014
9646.562,30.263,11.501,48.014
9675.808,30.263,11.501,48.014
9699.444,30.263,11.501,48.014
9729.196,30.263,11.501,48.014
9766.203,30.263,11.501,48.014
9793.034,30.263,11.501,48.014
9819.223,30.263,11.501,48.014
9846.784,30.263,11.501,48.014
9878.209,30.263,11.501,48.014
9905.209,30.263,11.501,48.014
9938.413,30.263,11.501,48.014
9961.463,30.263,11.501,48.014
9994.716,29.114,11.930,49.887
10028.765,29.114,11.930,49.887
10053.387,29.114,11.930,49.887
10087.217,29.114,11.930,49.887
10119.045,29.114,11.930,49.887
10146.398,29.114,11.930,49.887
10174.683,29.114,11.930,49.887
10207.206,29.114,11.930,49.887
10230.635,29.114,11.930,49.887
10253.329,29.114,11.930,49.887
10279.613,29.114,11.930,49.887
10313.025,29.114,11.930,49.887
10340.721,29.114,11.930,49.887
10368.782,28.724,12.016,50.347
10395.123,28.724,12.016,50.347
10420.788,28.724,12.016,50.347
10451.648,28.724,12.016,50.347
10474.985,28.724,12.016,50.347
10508.546,28.724,12.016,50.347
10537.702,28.724,12.016,50.347
10564.983,28.724,12.016,50.347
10589.987,28.724,12.016,50.347
10624.381,28.724,12.016,50.347
10657.704,28.724,12.016,50.347
10683.584,28.724,12.016,50.347
10718.483,28.724,12.016,50.347
10752.565,29.469,12.003,50.378
10782.843,29.469,12.003,50.378
10814.674,29.469,12.003,50.378
10846.795,29.469,12.003,50.378
10878.571,29.469,12.003,50.378
10906.665,29.469,12.003,50.378
10934.745,29.469,12.003,50.378
10962.507,29.469,12.003,50.378
10984.779,29.469,12.003,50.378
11012.788,29.469,12.003,50.378
11043.843,29.469,12.003,50.378
11072.453,29.469,12.003,50.378
11102.506,29.469,12.003,50.378
11134.107,29.297,11.671,49.059
11167.447,29.297,11.671,49.059
11198.071,29.297,11.671,49.059
11225.045,29.297,11.671,49.059
11252.829,29.297,11.671,49.059
11284.395,29.297,11.671,49.059
11306.325,29.297,11.671,49.059
11334.631,29.297,11.671,49.059
11361.999,29.297,11.671,49.059
11388.502,29.297,11.671,49.059
11413.278,29.297,11.671,49.059
11438.310,29.297,11.671,49.059
11460.770,29.297,11.671,49.059
11492.071,27.488,11.911,50.157
11523.269,27.488,11.911,50.157
11553.945,27.488,11.911,50.157
11586.000,27.488,11.911,50.157
11616.491,27.488,11.911,50.157
11641.935,27.488,11.911,50.157
11668.766,27.488,11.911,50.157
11700.064,27.488,11.911,50.157
11726.845,27.488,11.911,50.157
11749.991,27.488,11.911,50.157
11785.545,27.488,11.911,50.157
11817.227,27.488,11.911,50.157
11852.567,29.989,11.507,48.523
11884.763,29.989,11.507,48.523
11907.574,29.989,11.507,48.523
11929.984,29.989,11.507,48.523
11960.476,29.989,11.507,48.523
11983.531,29.989,11.507,48.523
12007.265,29.989,11.507,48.523
12033.510,29.989,11.507,48.523
12056.855,29.989,11.507,48.523
12077.557,29.989,11.507,48.523
12110.969,29.989,11.507,48.523
12134.291,29.989,11.507,48.523
12158.154,29.989,11.507,48.523
12189.806,29.989,11.507,48.523
12223.236,26.430,12.375,52.279
12243.986,26.430,12.375,52.279
12274.456,26.430,12.375,52.279
12302.140,26.430,12.375,52.279
12333.823,26.430,12.375,52.279
12362.641,26.430,12.375,52.279
12392.864,26.430,12.375,52.279
12424.458,26.430,12.375,52.279
12451.577,26.430,12.375,52.279
12483.200,26.430,12.375,52.279
12512.284,26.430,12.375,52.279
12538.625,26.430,12.375,52.279
12576.140,29.357,11.916,50.439
12601.918,29.357,11.916,50.439
12624.722,29.357,11.916,50.439
12655.242,29.357,11.916,50.439
12686.274,29.357,11.916,50.439
12714.396,29.357,11.916,50.439
12745.545,29.357,11.916,50.439
12777.074,29.357,11.916,50.439
12803.914,29.357,11.916,50.439
12833.160,29.357,11.916,50.439
12867.210,29.357,11.916,50.439
12891.090,29.357,11.916,50.439
12921.021,29.357,11.916,50.439
12952.324,28.886,11.647,49.377
12973.525,28.886,11.647,49.377
13003.542,28.886,11.647,49.377
13034.803,28.886,11.647,49.377
13065.265,28.886,11.647,49.377
13098.041,28.886,11.647,49.377
13128.111,28.886,11.647,49.377
13156.008,28.886,11.647,49.377
13185.056,28.886,11.647,49.377
13216.728,28.886,11.647,49.377
13248.256,28.886,11.647,49.377
13271.414,28.886,11.647,49.377
13295.950,28.886,11.647,49.377
13329.790,28.985,12.057,51.186
13357.509,28.985,12.057,51.186
13378.669,28.985,12.057,51.186
13400.872,28.985,12.057,51.186
13423.504,28.985,12.057,51.186
13455.740,28.985,12.057,51.186
13486.296,28.985,12.057,51.186
13517.403,28.985,12.057,51.186
13543.234,28.985,12.057,51.186
13570.887,28.985,12.057,51.186
13602.057,28.985,12.057,51.186
13626.106,28.985,12.057,51.186
13651.810,28.985,12.057,51.186
13681.334,26.993,11.711,49.798
13715.226,26.993,11.711,49.798
13747.193,26.993,11.711,49.798
13785.283,26.993,11.711,49.798
13807.034,26.993,11.711,49.798
