elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.001,25.223,4.155,22.776
4.155,25.223,4.155,22.776
33.878,25.223,4.155,22.776
60.581,23.377,4.165,22.833
78.993,23.377,4.165,22.833
107.531,23.377,4.165,22.833
134.017,23.377,4.165,22.833
161.290,23.377,4.165,22.833
188.001,23.377,4.165,22.833
213.987,23.377,4.165,22.833
232.888,23.377,4.165,22.833
253.649,23.377,4.165,22.833
274.071,23.377,4.165,22.833
302.814,23.377,4.165,22.833
326.810,23.377,4.165,22.833
345.449,23.377,4.165,22.833
375.766,23.377,4.165,22.833
403.794,23.377,4.165,22.833
428.176,24.507,4.233,23.202
454.035,24.507,4.233,23.202
479.266,24.507,4.233,23.202
503.020,24.507,4.233,23.202
527.995,24.507,4.233,23.202
546.654,24.507,4.233,23.202
574.213,24.507,4.233,23.202
592.209,24.507,4.233,23.202
619.814,24.507,4.233,23.202
646.514,24.507,4.233,23.202
672.542,24.507,4.233,23.202
690.593,24.507,4.233,23.202
712.460,24.507,4.233,23.202
741.811,24.507,4.233,23.202
760.534,24.507,4.233,23.202
789.533,24.091,4.303,23.591
814.749,24.091,4.303,23.591
839.641,24.091,4.303,23.591
864.388,24.091,4.303,23.591
883.206,24.091,4.303,23.591
908.798,24.091,4.303,23.591
927.306,24.091,4.303,23.591
946.897,24.091,4.303,23.591
967.557,24.091,4.303,23.591
988.366,24.091,4.303,23.591
1016.413,24.091,4.303,23.591
1041.958,24.091,4.303,23.591
1068.916,24.091,4.303,23.591
1087.189,24.091,4.303,23.591
1116.454,24.091,4.303,23.591
1143.540,23.601,4.283,23.476
1169.760,23.601,4.283,23.476
1195.243,23.601,4.283,23.476
1214.581,23.601,4.283,23.476
1233.516,23.601,4.283,23.476
1259.879,23.601,4.283,23.476
1286.792,23.601,4.283,23.476
1313.558,23.601,4.283,23.476
1339.954,23.601,4.283,23.476
1367.115,23.601,4.283,23.476
1393.501,23.601,4.283,23.476
1419.040,23.601,4.283,23.476
1437.424,23.601,4.283,23.476
1463.165,23.601,4.283,23.476
1489.230,23.601,4.283,23.476
1508.173,24.309,4.187,22.953
1536.972,24.309,4.187,22.953
1555.236,24.309,4.187,22.953
1584.255,24.309,4.187,22.953
1602.661,24.309,4.187,22.953
1623.833,24.309,4.187,22.953
1645.510,24.309,4.187,22.953
1665.708,24.309,4.187,22.953
1696.168,24.309,4.187,22.953
1723.174,24.309,4.187,22.953
1748.713,24.309,4.187,22.953
1776.015,24.309,4.187,22.953
1803.146,24.309,4.187,22.953
1821.049,24.309,4.187,22.953
1850.169,24.309,4.187,22.953
1868.595,24.029,4.272,23.420
1889.030,24.029,4.272,23.420
1910.498,24.029,4.272,23.420
1931.329,24.029,4.272,23.420
1951.719,24.029,4.272,23.420
1981.572,24.029,4.272,23.420
2007.549,24.029,4.272,23.420
2032.915,24.029,4.272,23.420
2058.742,24.029,4.272,23.420
2077.090,24.029,4.272,23.420
2097.238,24.029,4.272,23.420
2118.620,24.029,4.272,23.420
2146.418,24.029,4.272,23.420
2164.700,24.029,4.272,23.420
2193.254,24.029,4.272,23.420
2227.158,23.905,4.331,23.739
2251.848,23.905,4.331,23.739
2277.829,23.905,4.331,23.739
2303.743,23.905,4.331,23.739
2321.825,23.905,4.331,23.739
2349.245,23.905,4.331,23.739
2367.714,23.905,4.331,23.739
2396.429,23.905,4.331,23.739
2422.225,23.905,4.331,23.739
2440.049,23.905,4.331,23.739
2460.995,23.905,4.331,23.739
2482.193,23.905,4.331,23.739
2509.482,23.905,4.331,23.739
2528.479,23.905,4.331,23.739
2556.873,23.905,4.331,23.739
2583.258,23.740,4.195,22.994
2608.188,23.740,4.195,22.994
2632.564,23.740,4.195,22.994
2650.804,23.740,4.195,22.994
2680.480,23.740,4.195,22.994
2699.238,23.740,4.195,22.994
2718.555,23.740,4.195,22.994
2745.940,23.740,4.195,22.994
2763.764,23.740,4.195,22.994
2791.407,23.740,4.195,22.994
2817.976,23.740,4.195,22.994
2844.768,23.740,4.195,22.994
2862.665,23.740,4.195,22.994
2884.805,23.740,4.195,22.994
2909.032,23.740,4.195,22.994
2927.535,23.740,4.195,22.994
2947.094,22.739,4.272,23.420
2966.121,22.739,4.272,23.420
2991.774,22.739,4.272,23.420
3008.852,22.739,4.272,23.420
3028.681,22.739,4.272,23.420
3047.784,22.739,4.272,23.420
3069.231,22.739,4.272,23.420
3098.053,22.739,4.272,23.420
3115.759,22.739,4.272,23.420
3136.962,22.739,4.272,23.420
3158.672,22.739,4.272,23.420
3177.699,22.739,4.272,23.420
3205.987,22.739,4.272,23.420
3223.985,22.739,4.272,23.420
3250.689,22.739,4.272,23.420
3278.760,22.739,4.272,23.420
3296.464,22.739,4.272,23.420
3315.984,21.700,4.263,23.367
3336.281,21.700,4.263,23.367
3355.634,21.700,4.263,23.367
3376.203,21.700,4.263,23.367
3405.557,21.700,4.263,23.367
3431.403,21.700,4.263,23.367
3450.454,21.700,4.263,23.367
3470.934,21.700,4.263,23.367
3498.217,21.700,4.263,23.367
3526.831,21.700,4.263,23.367
3551.381,21.700,4.263,23.367
3568.961,21.700,4.263,23.367
3590.937,21.700,4.263,23.367
3608.747,21.700,4.263,23.367
3628.279,21.700,4.263,23.367
3655.257,21.700,4.263,23.367
3680.415,22.777,4.217,23.119
3698.908,22.777,4.217,23.119
3719.150,22.777,4.217,23.119
3739.558,22.777,4.217,23.119
3760.464,22.777,4.217,23.119
3779.221,22.777,4.217,23.119
3798.663,22.777,4.217,23.119
3820.450,22.777,4.217,23.119
3840.976,22.777,4.217,23.119
3861.688,22.777,4.217,23.119
3890.131,22.777,4.217,23.119
3915.110,22.777,4.217,23.119
3933.304,22.777,4.217,23.119
3954.210,22.777,4.217,23.119
3980.533,22.777,4.217,23.119
4005.687,22.777,4.217,23.119
4030.886,21.905,4.330,23.739
4055.835,21.905,4.330,23.739
4073.698,21.905,4.330,23.739
4101.789,21.905,4.330,23.739
4120.138,21.905,4.330,23.739
4144.507,21.905,4.330,23.739
4170.067,21.905,4.330,23.739
4187.911,21.905,4.330,23.739
4213.699,21.905,4.330,23.739
4232.263,21.905,4.330,23.739
4258.298,21.905,4.330,23.739
4277.104,21.905,4.330,23.739
4304.219,21.905,4.330,23.739
4322.651,21.905,4.330,23.739
4351.432,21.905,4.330,23.739
4369.452,21.905,4.330,23.739
4390.063,22.448,4.288,23.506
4410.371,22.448,4.288,23.506
4430.163,22.448,4.288,23.506
4458.339,22.448,4.288,23.506
4483.065,22.448,4.288,23.506
4509.132,22.448,4.288,23.506
4533.715,22.448,4.288,23.506
4558.869,22.448,4.288,23.506
4582.240,22.448,4.288,23.506
4605.227,22.448,4.288,23.506
4629.769,22.448,4.288,23.506
4647.313,22.448,4.288,23.506
4675.716,22.448,4.288,23.506
4699.793,22.448,4.288,23.506
4724.496,22.448,4.288,23.506
4748.010,23.864,4.241,23.250
4773.062,23.864,4.241,23.250
4796.274,23.864,4.241,23.250
4822.057,23.864,4.241,23.250
4844.594,23.864,4.241,23.250
4869.221,23.864,4.241,23.250
4893.103,23.864,4.241,23.250
4916.914,23.864,4.241,23.250
4940.763,23.864,4.241,23.250
4964.102,23.864,4.241,23.250
4989.118,23.864,4.241,23.250
5014.225,23.864,4.241,23.250
5038.977,23.864,4.241,23.250
5062.227,23.864,4.241,23.250
5086.716,23.864,4.241,23.250
5111.313,24.221,4.303,23.591
5129.042,24.221,4.303,23.591
5154.826,24.221,4.303,23.591
5180.915,24.221,4.303,23.591
5206.511,24.221,4.303,23.591
5225.074,24.221,4.303,23.591
5244.646,24.221,4.303,23.591
5265.034,24.221,4.303,23.591
5292.872,24.221,4.303,23.591
5311.070,24.221,4.303,23.591
5337.777,24.221,4.303,23.591
5355.361,24.221,4.303,23.591
5375.490,24.221,4.303,23.591
5399.771,24.221,4.303,23.591
5425.450,24.221,4.303,23.591
5449.664,24.221,4.303,23.591
5474.487,22.699,4.210,23.080
5492.613,22.699,4.210,23.080
5511.472,22.699,4.210,23.080
5531.119,22.699,4.210,23.080
5557.347,22.699,4.210,23.080
5580.496,22.699,4.210,23.080
5605.113,22.699,4.210,23.080
5621.843,22.699,4.210,23.080
