elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.095,32.060,2.761,15.642
29.384,29.284,2.980,16.883
61.761,32.377,3.506,19.863
90.933,29.170,2.980,16.883
123.089,32.154,3.681,20.856
154.461,31.368,3.330,18.870
185.642,31.184,3.506,19.863
217.172,31.526,3.506,19.863
248.592,31.418,3.330,18.870
278.955,30.360,2.366,13.407
309.615,30.657,3.330,18.870
340.689,31.075,3.330,18.870
368.750,28.060,5.522,31.284
399.861,31.102,2.366,13.407
431.210,31.354,3.506,19.863
462.151,30.939,3.155,17.877
493.338,31.185,3.506,19.863
524.132,30.793,3.330,18.870
554.440,30.306,3.155,17.877
585.414,30.972,3.506,19.863
615.943,30.529,3.155,17.877
646.878,30.930,3.155,17.877
680.270,33.400,2.892,16.387
711.774,31.496,3.330,18.870
741.370,29.599,3.506,19.863
773.111,31.737,3.330,18.870
804.706,31.593,3.506,19.863
836.997,32.289,3.506,19.863
866.807,29.807,3.330,18.870
897.989,31.182,3.330,18.870
930.024,32.031,2.761,15.642
961.461,31.436,3.330,18.870
992.682,31.220,3.155,17.877
1025.363,32.681,3.681,20.856
1056.613,31.247,3.330,18.870
1088.379,31.762,3.506,19.863
1120.139,31.763,2.498,14.152
1153.056,32.913,3.506,19.863
1185.390,32.337,3.506,19.863
1216.960,31.572,3.330,18.870
1248.153,31.186,3.330,18.870
1279.409,31.251,2.366,13.407
1310.737,31.329,3.506,19.863
1342.347,31.608,3.330,18.870
1373.317,30.969,3.506,19.863
1404.559,31.239,3.330,18.870
1434.339,29.780,3.155,17.877
1466.394,32.053,3.506,19.863
1496.327,29.933,3.155,17.877
1527.448,31.119,3.330,18.870
1557.817,30.365,3.330,18.870
1588.252,30.434,3.330,18.870
1616.406,28.154,2.980,16.883
1647.764,31.356,3.506,19.863
1679.523,31.758,2.498,14.152
1710.994,31.470,3.506,19.863
1742.872,31.871,3.506,19.863
1773.698,30.830,3.155,17.877
1804.375,30.674,3.330,18.870
1834.995,30.619,3.330,18.870
1865.893,30.892,3.330,18.870
1896.621,30.728,3.330,18.870
1927.370,30.749,3.330,18.870
1958.915,31.537,2.629,14.897
1989.545,30.636,3.155,17.877
2020.533,30.986,3.330,18.870
2051.943,31.382,3.506,19.863
2082.528,30.610,3.330,18.870
2113.531,31.002,3.330,18.870
2145.474,31.939,3.506,19.863
2176.634,31.160,3.155,17.877
2207.752,31.118,3.330,18.870
2237.685,29.930,3.155,17.877
2270.522,32.831,2.629,14.897
2302.166,31.647,3.506,19.863
2333.081,30.910,3.330,18.870
2363.254,30.175,3.330,18.870
2392.696,29.439,2.980,16.883
2423.977,31.280,3.506,19.863
2454.760,30.782,3.330,18.870
2486.170,31.407,3.506,19.863
2516.177,30.005,2.980,16.883
2545.807,29.630,3.155,17.877
2576.124,30.316,3.330,18.870
2607.763,31.638,3.506,19.863
2639.424,31.655,2.366,13.407
2671.053,31.623,3.506,19.863
2702.379,31.333,3.330,18.870
2733.250,30.870,3.330,18.870
2764.271,31.019,3.330,18.870
2795.164,30.892,3.330,18.870
2825.739,30.572,3.330,18.870
2856.570,30.831,3.155,17.876
2887.050,30.479,3.155,17.876
2918.176,31.123,3.506,19.863
2949.049,30.870,2.366,13.407
2977.016,27.968,4.733,26.815
3007.075,30.056,3.155,17.876
3037.196,30.118,3.155,17.876
3067.266,30.069,3.155,17.876
3097.720,30.454,3.330,18.870
3128.014,30.291,3.155,17.876
3157.825,29.810,3.330,18.870
3188.863,31.043,3.330,18.870
3219.146,30.286,2.366,13.407
3248.150,28.991,4.732,26.815
3279.941,31.783,2.498,14.152
3311.973,32.029,3.506,19.863
3344.456,32.490,3.506,19.863
3376.730,32.275,3.330,18.870
3405.513,28.784,3.330,18.870
3436.713,31.192,3.330,18.870
3467.629,30.914,3.155,17.876
3498.551,30.918,3.506,19.863
3530.166,31.619,2.366,13.407
3561.568,31.400,3.506,19.863
3592.459,30.887,3.330,18.870
3623.294,30.837,3.330,18.870
3653.957,30.657,3.155,17.876
3685.643,31.690,3.330,18.869
3716.662,31.013,3.506,19.863
3747.758,31.087,3.155,17.876
3778.588,30.831,3.330,18.869
3811.800,33.212,2.629,14.897
3842.830,31.032,3.330,18.869
3875.277,32.447,3.506,19.863
3906.128,30.849,3.330,18.869
3938.686,32.558,3.505,19.863
3964.479,25.789,3.330,18.869
3996.181,31.700,3.330,18.869
4027.373,31.194,3.330,18.869
4058.919,31.538,3.330,18.869
4091.209,32.292,2.629,14.897
4122.421,31.211,3.330,18.869
4155.050,32.629,3.505,19.863
4186.582,31.530,3.330,18.869
4218.733,32.150,3.505,19.863
4247.895,29.162,3.330,18.869
4278.717,30.820,3.330,18.869
4309.988,31.264,2.498,14.152
4341.018,31.030,3.330,18.869
4372.260,31.245,3.330,18.869
4402.917,30.655,3.330,18.869
4434.493,31.575,3.330,18.869
4465.585,31.091,3.330,18.869
4495.958,30.365,3.155,17.876
4526.898,30.945,3.330,18.869
4557.109,30.210,3.155,17.876
4589.091,31.979,2.629,14.897
4618.449,29.356,4.995,28.304
4649.636,31.187,2.629,14.897
4680.905,31.267,3.155,17.876
4712.142,31.236,3.505,19.863
4742.978,30.828,3.330,18.869
4774.055,31.082,3.155,17.876
4804.460,30.404,3.330,18.869
4836.092,31.599,3.330,18.869
4866.530,30.468,3.330,18.869
4896.740,30.209,3.155,17.876
4926.914,30.170,3.155,17.876
4957.856,30.944,3.330,18.869
4989.882,32.023,2.498,14.152
5021.907,32.024,3.505,19.863
5052.998,31.084,3.155,17.876
5085.046,32.044,3.681,20.856
5114.662,29.621,2.980,16.883
5146.243,31.580,3.505,19.863
5176.392,30.149,3.155,17.876
5206.560,30.166,3.330,18.869
5236.342,29.779,2.980,16.883
5265.817,29.474,3.155,17.876
5297.824,32.007,3.505,19.863
5327.982,30.150,3.155,17.876
5359.720,31.744,2.498,14.152
5390.099,30.374,3.330,18.869
5420.673,30.575,3.155,17.876
5450.814,30.140,3.330,18.869
5481.069,30.246,3.330,18.869
5512.209,31.146,3.330,18.869
5544.597,32.386,3.505,19.862
5574.995,30.392,3.330,18.869
5605.737,30.746,3.330,18.869
5636.024,30.277,3.155,17.876
5665.223,29.203,3.155,17.876
5696.798,31.579,3.330,18.869
5725.550,28.745,3.330,18.869
5757.327,31.777,3.330,18.869
5789.184,31.852,2.498,14.152
5821.347,32.164,3.505,19.862
5852.928,31.579,3.505,19.862
5884.657,31.732,3.330,18.869
5910.266,25.605,3.155,17.876
5943.205,32.936,3.681,20.856
5974.136,30.929,3.155,17.876
6006.452,32.315,3.681,20.856
6038.380,31.926,3.330,18.869
6070.385,32.004,2.498,14.152
6102.024,31.632,3.505,19.862
6134.349,32.330,3.505,19.862
6166.593,32.243,3.505,19.862
6197.493,30.897,3.330,18.869
6229.286,31.792,2.498,14.152
6260.285,30.996,3.330,18.869
6292.197,31.882,3.505,19.862
6322.771,30.601,3.155,17.876
6353.193,30.421,3.155,17.876
6383.892,30.697,3.330,18.869
6415.611,31.722,3.330,18.869
6447.103,31.486,3.505,19.862
6476.537,29.434,2.979,16.883
6506.066,29.520,3.155,17.876
6534.391,28.330,2.979,16.883
6563.197,28.802,2.804,15.890
6592.858,29.663,3.155,17.876
6624.391,31.531,3.505,19.862
6653.746,29.355,3.155,17.876
6685.761,32.014,3.330,18.869
6716.063,30.296,3.155,17.876
6747.783,31.721,3.505,19.862
6779.313,31.529,2.497,14.152
6810.004,30.685,3.330,18.869
6841.970,31.970,3.505,19.862
6873.715,31.743,3.330,18.869
6905.472,31.754,3.505,19.862
6936.157,30.687,3.155,17.876
6967.402,31.241,3.330,18.869
6998.753,31.350,3.330,18.869
7028.455,29.700,3.330,18.869
7060.231,31.741,2.497,14.152
7091.514,31.312,3.155,17.876
7122.009,30.492,3.330,18.869
7153.653,31.647,3.330,18.869
7185.448,31.792,3.505,19.862
7217.495,32.046,3.330,18.869
7248.279,30.783,3.330,18.869
7279.518,31.238,2.497,14.152
7311.631,32.112,3.505,19.862
7342.912,31.252,3.330,18.869
7374.605,31.717,3.330,18.869
7407.049,32.443,3.505,19.862
7438.995,31.945,3.505,19.862
7469.569,30.572,2.629,14.897
7503.045,33.470,3.505,19.862
7533.786,30.743,3.155,17.876
7564.864,31.076,3.505,19.862
7595.703,30.837,3.155,17.876
7624.813,29.109,3.155,17.876
7654.784,29.971,3.330,18.869
7685.128,30.343,3.155,17.876
7717.292,32.160,3.505,19.862
7747.822,30.526,3.155,17.876
7779.028,31.207,3.505,19.862
7811.736,32.707,2.629,14.897
7843.389,31.651,3.330,18.869
7875.420,32.031,3.505,19.862
7907.158,31.737,3.330,18.869
7939.147,31.988,2.629,14.897
7968.544,29.395,4.995,28.304
7997.826,29.280,2.979,16.883
8030.041,32.208,2.629,14.897
8061.343,31.306,3.330,18.869
8094.180,32.832,3.680,20.855
8126.669,32.489,3.505,19.862
8157.934,31.266,3.330,18.869
8189.090,31.148,2.497,14.152
8219.349,30.263,3.505,19.862
8250.346,30.995,3.330,18.869
8281.981,31.635,3.505,19.862
8312.483,30.502,3.330,18.869
8342.491,30.005,2.979,16.883
8371.769,29.274,2.979,16.883
8402.873,31.109,3.505,19.862
8433.916,31.039,3.330,18.869
8465.749,31.829,3.330,18.869
8495.965,30.216,3.330,18.869
8526.873,30.908,3.330,18.869
8557.776,30.899,3.155,17.876
8588.260,30.484,3.330,18.869
8619.039,30.777,3.155,17.876
8650.719,31.676,2.497,14.152
8680.973,30.253,3.330,18.869
8713.320,32.347,3.680,20.855
8745.194,31.867,3.330,18.869
8776.950,31.760,3.505,19.862
8809.917,32.964,2.497,14.152
8839.630,29.711,3.155,17.876
8872.048,32.416,3.505,19.862
8900.184,28.136,2.979,16.883
8932.657,32.472,3.505,19.862
8964.379,31.719,3.330,18.869
8996.015,31.634,3.330,18.869
9028.131,32.114,3.505,19.862
9061.120,32.987,2.629,14.897
9091.481,30.353,3.330,18.869
9124.243,32.772,3.330,18.869
9155.018,30.771,3.330,18.869
9186.476,31.457,3.505,19.862
9216.294,29.817,2.979,16.883
9245.225,28.931,2.979,16.883
9274.789,29.557,2.979,16.883
9304.605,29.817,3.154,17.876
9333.812,29.205,3.154,17.876
9366.266,32.455,3.505,19.862
9397.888,31.621,3.330,18.869
9430.027,32.138,2.760,15.641
9461.475,31.445,3.154,17.876
9489.358,27.881,3.154,17.876
9520.679,31.321,3.505,19.862
9551.795,31.116,3.330,18.869
9582.923,31.126,3.330,18.869
9614.294,31.366,3.330,18.869
9645.214,30.922,3.330,18.869
9674.800,29.584,3.154,17.876
9704.106,29.301,2.979,16.883
9736.171,32.062,3.505,19.862
9766.147,29.971,3.154,17.876
9798.614,32.473,3.505,19.862
9829.502,30.885,2.497,14.152
9862.088,32.585,3.680,20.855
9892.875,30.791,3.330,18.869
9923.425,30.539,3.330,18.869
9954.597,31.174,3.154,17.876
9983.115,28.509,2.979,16.883
10015.091,31.979,3.330,18.869
10044.872,29.784,3.154,17.876
10077.269,32.395,3.505,19.862
10108.773,31.503,3.330,18.869
10140.189,31.412,2.629,14.897
10167.599,27.414,4.469,25.324
10198.022,30.421,3.154,17.876
10226.933,28.907,2.979,16.883
10254.803,27.869,3.330,18.869
10282.970,28.167,2.979,16.883
