elapsed_ms,frametime_ms,ppu_usage,spu_usage
0.093,31.744,6.564,37.517
30.674,30.773,4.664,26.657
61.651,31.178,6.564,37.517
91.314,29.854,6.218,35.542
121.077,29.956,6.218,35.542
151.212,30.329,6.218,35.542
181.319,30.295,6.564,37.517
213.332,32.226,6.564,37.517
244.549,31.414,6.218,35.542
277.097,32.759,6.909,39.491
307.922,31.023,6.564,37.517
341.600,33.893,5.182,29.618
372.108,30.695,6.218,35.542
403.523,31.627,6.564,37.517
434.550,31.228,6.564,37.517
464.710,30.354,5.873,33.567
496.151,31.642,6.909,39.491
527.496,31.546,4.923,28.137
556.738,29.429,9.327,53.313
587.739,31.189,4.923,28.137
618.556,31.024,6.218,35.542
649.207,30.850,6.564,37.517
681.062,32.060,6.564,37.517
711.095,30.225,6.218,35.542
741.508,30.610,6.218,35.542
771.813,30.499,6.218,35.542
804.608,33.008,7.254,41.466
835.127,30.707,4.404,25.176
865.614,30.691,6.564,37.517
896.451,31.032,6.564,37.517
926.849,30.594,6.218,35.542
957.562,30.912,6.564,37.517
987.786,30.414,5.873,33.567
1019.260,31.679,6.909,39.491
1051.111,32.056,6.564,37.517
1080.768,29.847,6.218,35.542
1109.870,29.290,5.873,33.567
1140.074,30.396,6.218,35.542
1171.233,31.360,6.564,37.516
1203.252,32.224,4.923,28.137
1233.889,30.836,6.564,37.516
1264.362,30.664,5.873,33.567
1295.774,31.618,6.909,39.491
1328.191,32.627,6.564,37.516
1361.330,33.356,6.909,39.491
1392.769,31.633,5.182,29.618
1422.945,30.373,6.218,35.542
1453.992,31.245,6.563,37.517
1484.015,30.216,6.218,35.542
1515.655,31.844,6.909,39.491
1546.318,30.860,6.218,35.542
1576.983,30.861,6.218,35.542
1609.446,32.677,6.909,39.491
1640.035,30.782,4.923,28.137
1672.329,32.501,6.563,37.517
1704.943,32.825,6.909,39.491
1736.178,31.436,6.563,37.516
1766.216,30.225,6.218,35.542
1796.120,30.099,6.218,35.542
1828.001,32.089,6.563,37.516
1858.005,30.202,5.873,33.567
1887.951,30.130,6.563,37.516
1919.804,32.063,4.923,28.137
1950.166,30.558,6.218,35.542
1980.588,30.617,6.563,37.516
2011.337,30.945,6.563,37.516
2040.854,29.708,5.873,33.567
2072.926,32.278,6.909,39.491
2103.890,31.158,6.563,37.516
2133.371,29.673,6.218,35.542
2164.296,31.126,6.218,35.542
2194.154,30.049,6.218,35.542
2224.366,30.405,6.218,35.542
2255.239,31.074,6.563,37.516
2286.944,31.907,4.923,28.137
2319.584,32.845,6.909,39.491
2350.950,31.576,6.563,37.516
2380.902,30.143,6.218,35.542
2411.094,30.386,6.218,35.542
2441.329,30.428,6.563,37.516
2473.230,32.108,6.909,39.491
2505.750,32.729,4.923,28.137
2538.008,32.464,7.254,41.466
2570.883,33.079,6.909,39.491
2602.828,32.159,6.563,37.516
2634.882,32.261,5.441,31.099
2667.022,32.345,6.563,37.517
